our_naics_code,our_name,felten_naics_code,felten_naics_name,felten_score,match_basis,manual_notes,review_source
4593,NAICS 4593 Florists,4531,Florists,-0.3690017,raw_normalized_match,,notebook_raw_appendix_b
4594,"NAICS 4594 Office supplies, stationery, and gift retailers",4539,Other Miscellaneous Store Retailers,0.00781,manual_override,Notebook lock: reviewed retail proxy to Felten's other miscellaneous store retailers concept.,notebook_locked_naics_manual_review
4595,NAICS 4595 Used merchandise retailers,4520,General Merchandise Stores,-0.007219,manual_override,Notebook lock: reviewed retail proxy to Felten's general merchandise stores concept.,notebook_locked_naics_manual_review
4599,NAICS 4599 Other miscellaneous retailers,4539,Other Miscellaneous Store Retailers,0.00781,raw_normalized_match,,notebook_raw_appendix_b
4811,Scheduled air transportation,4811,Scheduled Air Transportation,-0.4555449,raw_exact_match,,notebook_raw_appendix_b
4812,Nonscheduled air transportation,4812,Nonscheduled Air Transportation,0.1134526,raw_exact_match,,notebook_raw_appendix_b
4821,Rail transportation,4821,Rail Transportation,-0.5922358,raw_exact_match,,notebook_raw_appendix_b
4831,"Sea, coastal, and great lakes transportation",4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",-0.3280049,raw_exact_match,,notebook_raw_appendix_b
4832,Inland water transportation,4832,Inland Water Transportation,-0.8718479,raw_exact_match,,notebook_raw_appendix_b
4841,General freight trucking,4840,Truck Transportation,-1.282191,manual_override,Notebook lock: roll current trucking code into Felten's aggregate truck transportation family.,notebook_locked_naics_manual_review
4842,Specialized freight trucking,4840,Truck Transportation,-1.282191,manual_override,Notebook lock: roll current trucking code into Felten's aggregate truck transportation family.,notebook_locked_naics_manual_review
4851,Urban transit systems,4851,Urban Transit Systems,-0.1201694,raw_exact_match,,notebook_raw_appendix_b
4852,Interurban and rural bus transportation,4852,Interurban and Rural Bus Transportation,-0.0462207,raw_exact_match,,notebook_raw_appendix_b
4853,Taxi and limousine service,4853,Taxi and Limousine Service,1.369857,raw_exact_match,,notebook_raw_appendix_b
4854,School and employee bus transportation,4854,School and Employee Bus Transportation,0.076602,raw_exact_match,,notebook_raw_appendix_b
4855,Charter bus industry,4855,Charter Bus Industry,0.0093568,raw_exact_match,,notebook_raw_appendix_b
4859,Other ground passenger transportation,4859,Other Transit and Ground Passenger Transportation,0.9623069,raw_exact_match,,notebook_raw_appendix_b
4861,Pipeline transportation of crude oil,4861,Pipeline Transportation of Crude Oil,-0.1340503,raw_exact_match,,notebook_raw_appendix_b
4862,Pipeline transportation of natural gas,4862,Pipeline Transportation of Natural Gas,-0.0901119,raw_exact_match,,notebook_raw_appendix_b
4869,Other pipeline transportation,4869,Other Pipeline Transportation,-0.0393555,raw_exact_match,,notebook_raw_appendix_b
4871,"Scenic and sightseeing transportation, land",4871,"Scenic and Sightseeing Transportation, Land",0.4042215,raw_exact_match,,notebook_raw_appendix_b
4872,"Scenic and sightseeing transportation, water",4872,"Scenic and Sightseeing Transportation, Water",-0.6679308,raw_exact_match,,notebook_raw_appendix_b
4879,"Scenic and sightseeing transportation, other",4879,"Scenic and Sightseeing Transportation, Other",0.1866125,raw_exact_match,,notebook_raw_appendix_b
4881,Support activities for air transportation,4881,Support Activities for Air Transportation,-0.3353398,raw_exact_match,,notebook_raw_appendix_b
4882,Support activities for rail transportation,4882,Support Activities for Rail Transportation,-1.474989,raw_exact_match,,notebook_raw_appendix_b
4883,Support activities for water transportation,4883,Support Activities for Water Transportation,-1.411064,raw_exact_match,,notebook_raw_appendix_b
4884,Support activities for road transportation,4884,Support Activities for Road Transportation,-0.9504591,raw_exact_match,,notebook_raw_appendix_b
4885,Freight transportation arrangement,4885,Freight Transportation Arrangement,1.024609,raw_exact_match,,notebook_raw_appendix_b
4889,Other support activities for transportation,4889,Other Support Activities for Transportation,-1.105623,raw_exact_match,,notebook_raw_appendix_b
4911,Postal service,4911,Postal Service (federal government),-1.314742,raw_exact_match,,notebook_raw_appendix_b
4921,Couriers and express delivery services,4921,Couriers and Express Delivery Services,-1.150431,raw_exact_match,,notebook_raw_appendix_b
4922,Local messengers and local delivery,4922,Local Messengers and Local Delivery,-1.182829,raw_exact_match,,notebook_raw_appendix_b
4931,Warehousing and storage,4931,Warehousing and Storage,-1.59126,raw_exact_match,,notebook_raw_appendix_b
5111,"Newspaper, book, and directory publishers",5111,"Newspaper, Periodical, Book, and Directory Publishers",1.337831,raw_exact_match,,notebook_raw_appendix_b
5112,Software publishers,5112,Software Publishers,1.966309,raw_exact_match,,notebook_raw_appendix_b
5121,Motion picture and video industries,5121,Motion Picture and Video Industries,0.4026041,raw_exact_match,,notebook_raw_appendix_b
5122,Sound recording industries,5122,Sound Recording Industries,1.43428,raw_exact_match,,notebook_raw_appendix_b
5131,"NAICS 5131 Newspaper, periodical, book, and directory publishers",5111,"Newspaper, Periodical, Book, and Directory Publishers",1.337831,manual_override,Notebook lock: reviewed media-vintage back-map from current 5131 publishing to Felten 5111 publishing.,notebook_locked_naics_manual_review
5132,NAICS 5132 Software publishers,5112,Software Publishers,1.966309,raw_normalized_match,,notebook_raw_appendix_b
5151,Radio and television broadcasting,5151,Radio and Television Broadcasting,1.429625,raw_exact_match,,notebook_raw_appendix_b
5152,Cable and other subscription programming,5152,Cable and Other Subscription Programming,1.098212,raw_exact_match,,notebook_raw_appendix_b
5161,NAICS 5161 Radio and television broadcasting stations,5151,Radio and Television Broadcasting,1.429625,manual_override,Notebook lock: reviewed media-vintage back-map from current 5161 broadcasting to Felten 5151 broadcasting.,notebook_locked_naics_manual_review
5162,"NAICS 5162 Media streaming distribution services, social networks, and other media networks and content providers",5152,Cable and Other Subscription Programming,1.098212,raw_normalized_match,,notebook_raw_appendix_b
5171,Wired telecommunications carriers,5170,Telecommunications,0.2466103,raw_normalized_match,,notebook_raw_appendix_b
5172,Wireless telecommunications carriers,5170,Telecommunications,0.2466103,manual_override,Notebook lock: back-map historical telecommunications subtype into Felten's aggregate telecommunications family.,notebook_locked_naics_manual_review
5173,NAICS 5173 Wired and wireless telecommunications carriers,5170,Telecommunications,0.2466103,manual_override,Notebook lock: back-map historical telecommunications subtype into Felten's aggregate telecommunications family.,notebook_locked_naics_manual_review
5174,Satellite telecommunications,5170,Telecommunications,0.2466103,manual_override,Notebook lock: roll telecommunications subtype into Felten's aggregate telecommunications family.,notebook_locked_naics_manual_review
5178,NAICS 5178 All other telecommunications,5170,Telecommunications,0.2466103,manual_override,Notebook lock: roll telecommunications subtype into Felten's aggregate telecommunications family.,notebook_locked_naics_manual_review
5179,Other telecommunications,5170,Telecommunications,0.2466103,manual_override,Notebook lock: back-map historical telecommunications subtype into Felten's aggregate telecommunications family.,notebook_locked_naics_manual_review
5182,"Data processing, hosting and related services",5182,"Data Processing, Hosting, and Related Services",1.74286,raw_exact_match,,notebook_raw_appendix_b
5191,Other information services,5191,Other Information Services,1.749664,raw_exact_match,,notebook_raw_appendix_b
5192,"NAICS 5192 Web search portals, libraries, archives, and other information services",5191,Other Information Services,1.749664,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial
5211,Monetary authorities - central bank,5211,Monetary Authorities-Central Bank,1.770347,raw_exact_match,,notebook_raw_appendix_b
5221,Depository credit intermediation,5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,raw_normalized_match,,notebook_raw_appendix_b
5222,Nondepository credit intermediation,5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,raw_exact_match,,notebook_raw_appendix_b
5223,Activities related to credit intermediation,5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,raw_normalized_match,,notebook_raw_appendix_b
5231,Securities and commodity contracts brokerage,5230,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.218665,manual_override,Notebook lock: roll brokerage into Felten's aggregate securities and other financial investment family.,notebook_locked_naics_manual_review
5232,Securities and commodity exchanges,5230,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.218665,manual_override,Notebook lock: roll exchange activity into Felten's aggregate securities and other financial investment family.,notebook_locked_naics_manual_review
5239,Other financial investment activities,5230,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.218665,raw_normalized_match,,notebook_raw_appendix_b
5241,Insurance carriers,5241,Insurance Carriers,2.058794,raw_exact_match,,notebook_raw_appendix_b
5242,Insurance agencies and brokerages,5242,"Agencies, Brokerages, and Other Insurance Related Activities",2.120996,raw_exact_match,,notebook_raw_appendix_b
5251,Insurance and employee benefit funds,5251,Insurance and Employee Benefit Funds,2.180309,raw_exact_match,,notebook_raw_appendix_b
5259,Other investment pools and funds,5259,Other Investment Pools and Funds,2.07022,raw_exact_match,,notebook_raw_appendix_b
5311,Lessors of real estate,5310,Real Estate,0.5238351,raw_normalized_match,,notebook_raw_appendix_b
5312,Offices of real estate agents and brokers,5310,Real Estate,0.5238351,manual_override,Notebook lock: roll real-estate brokerage into Felten's aggregate real-estate family.,notebook_locked_naics_manual_review
5313,Activities related to real estate,5310,Real Estate,0.5238351,raw_normalized_match,,notebook_raw_appendix_b
5321,Automotive equipment rental and leasing,5321,Automotive Equipment Rental and Leasing,-0.1278947,raw_exact_match,,notebook_raw_appendix_b
5322,Consumer goods rental,5320,"Rental and Leasing Services (5322, 5323, and 5324 only)",-0.2705971,manual_override,Notebook lock: roll consumer-goods rental into Felten's aggregate rental and leasing family.,notebook_locked_naics_manual_review
5323,General rental centers,5320,"Rental and Leasing Services (5322, 5323, and 5324 only)",-0.2705971,manual_override,Notebook lock: roll general rental centers into Felten's aggregate rental and leasing family.,notebook_locked_naics_manual_review
5324,Machinery and equipment rental and leasing,5321,Automotive Equipment Rental and Leasing,-0.1278947,accepted_suggested_join,Same 3-digit NAICS family with strong title alignment.,recommended_felten_naics_overrides_initial
5331,Lessors of nonfinancial intangible assets,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),1.911472,raw_exact_match,,notebook_raw_appendix_b
5411,Legal services,5411,Legal Services,2.156741,raw_exact_match,,notebook_raw_appendix_b
5412,Accounting and bookkeeping services,5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2.215628,raw_exact_match,,notebook_raw_appendix_b
5413,Architectural and engineering services,5413,"Architectural, Engineering, and Related Services",1.492814,raw_exact_match,,notebook_raw_appendix_b
5414,Specialized design services,5414,Specialized Design Services,1.280983,raw_exact_match,,notebook_raw_appendix_b
5415,Computer systems design and related services,5415,Computer Systems Design and Related Services,1.860226,raw_exact_match,,notebook_raw_appendix_b
5416,Management and technical consulting services,5416,"Management, Scientific, and Technical Consulting Services",1.8047,raw_exact_match,,notebook_raw_appendix_b
5417,Scientific research and development services,5417,Scientific Research and Development Services,1.635407,raw_exact_match,,notebook_raw_appendix_b
5418,"Advertising, pr, and related services",5418,"Advertising, Public Relations, and Related Services",1.305607,raw_exact_match,,notebook_raw_appendix_b
5419,Other professional and technical services,5419,"Other Professional, Scientific, and Technical Services",0.6022445,raw_exact_match,,notebook_raw_appendix_b
5511,Management of companies and enterprises,5511,Management of Companies and Enterprises,1.69871,raw_exact_match,,notebook_raw_appendix_b
5611,Office administrative services,5611,Office Administrative Services,1.753769,raw_exact_match,,notebook_raw_appendix_b
5612,Facilities support services,5612,Facilities Support Services,-1.008228,raw_exact_match,,notebook_raw_appendix_b
5613,Employment services,5613,Employment Services,-0.7234654,raw_exact_match,,notebook_raw_appendix_b
5614,Business support services,5614,Business Support Services,1.704965,raw_exact_match,,notebook_raw_appendix_b
5615,Travel arrangement and reservation services,5615,Travel Arrangement and Reservation Services,1.68347,raw_exact_match,,notebook_raw_appendix_b
5616,Investigation and security services,5616,Investigation and Security Services,-0.3442498,raw_exact_match,,notebook_raw_appendix_b
5617,Services to buildings and dwellings,5617,Services to Buildings and Dwellings,-1.998597,raw_exact_match,,notebook_raw_appendix_b
5619,Other support services,5619,Other Support Services,-0.4762704,raw_exact_match,,notebook_raw_appendix_b
5621,Waste collection,5621,Waste Collection,-1.332496,raw_exact_match,,notebook_raw_appendix_b
5622,Waste treatment and disposal,5622,Waste Treatment and Disposal,-0.7965308,raw_exact_match,,notebook_raw_appendix_b
5629,Remediation and other waste services,5629,Remediation and Other Waste Management Services,-0.7835333,raw_exact_match,,notebook_raw_appendix_b
6111,Elementary and secondary schools,6111,Elementary and Secondary Schools,1.315956,raw_exact_match,,notebook_raw_appendix_b
6112,Junior colleges,6112,Junior Colleges,1.530079,raw_exact_match,,notebook_raw_appendix_b
6113,Colleges and universities,6113,"Colleges, Universities, and Professional Schools",1.456562,raw_exact_match,,notebook_raw_appendix_b
6114,"Business, computer and management training",6114,Business Schools and Computer and Management Training,1.741192,raw_exact_match,,notebook_raw_appendix_b
6115,Technical and trade schools,6115,Technical and Trade Schools,0.947026,raw_exact_match,,notebook_raw_appendix_b
6116,Other schools and instruction,6116,Other Schools and Instruction,0.6729133,raw_exact_match,,notebook_raw_appendix_b
6117,Educational support services,6117,Educational Support Services,1.605398,raw_exact_match,,notebook_raw_appendix_b
6211,Offices of physicians,6211,Offices of Physicians,1.009907,raw_exact_match,,notebook_raw_appendix_b
6212,Offices of dentists,6212,Offices of Dentists,0.4154884,raw_exact_match,,notebook_raw_appendix_b
6213,Offices of other health practitioners,6213,Offices of Other Health Practitioners,0.7008373,raw_exact_match,,notebook_raw_appendix_b
6214,Outpatient care centers,6214,Outpatient Care Centers,0.9686477,raw_exact_match,,notebook_raw_appendix_b
6215,Medical and diagnostic laboratories,6215,Medical and Diagnostic Laboratories,0.6741955,raw_exact_match,,notebook_raw_appendix_b
6216,Home health care services,6216,Home Health Care Services,0.6927072,raw_exact_match,,notebook_raw_appendix_b
6219,Other ambulatory health care services,6219,Other Ambulatory Health Care Services,0.7869348,raw_exact_match,,notebook_raw_appendix_b
6221,General medical and surgical hospitals,6221,General Medical and Surgical Hospitals,0.5274962,raw_exact_match,,notebook_raw_appendix_b
6222,Psychiatric and substance abuse hospitals,6222,Psychiatric and Substance Abuse Hospitals,0.5211326,raw_exact_match,,notebook_raw_appendix_b
6223,Other hospitals,6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,0.5900623,raw_exact_match,,notebook_raw_appendix_b
6231,Nursing care facilities,6231,Nursing Care Facilities (Skilled Nursing Facilities),-0.2430007,raw_exact_match,,notebook_raw_appendix_b
6232,Residential mental health facilities,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",0.8572415,raw_exact_match,,notebook_raw_appendix_b
6233,Community care facilities for the elderly,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,-0.4843864,raw_exact_match,,notebook_raw_appendix_b
6239,Other residential care facilities,6239,Other Residential Care Facilities,0.7190148,raw_exact_match,,notebook_raw_appendix_b
6241,Individual and family services,6241,Individual and Family Services,1.163092,raw_exact_match,,notebook_raw_appendix_b
6242,Emergency and other relief services,6242,"Community Food and Housing, and Emergency and Other Relief Services",0.8514432,raw_exact_match,,notebook_raw_appendix_b
6243,Vocational rehabilitation services,6243,Vocational Rehabilitation Services,0.2863293,raw_exact_match,,notebook_raw_appendix_b
6244,Child day care services,6244,Child Day Care Services,0.0572718,raw_exact_match,,notebook_raw_appendix_b
7111,Performing arts companies,7111,Performing Arts Companies,0.1677087,raw_exact_match,,notebook_raw_appendix_b
7112,Spectator sports,7112,Spectator Sports,-0.2576417,raw_exact_match,,notebook_raw_appendix_b
7113,Promoters of performing arts and sports,7113,"Promoters of Performing Arts, Sports, and Similar Events",-0.1931654,raw_exact_match,,notebook_raw_appendix_b
7114,Agents and managers for public figures,7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",1.910984,raw_exact_match,,notebook_raw_appendix_b
7115,"Independent artists, writers, and performers",7115,"Independent Artists, Writers, and Performers",0.6088023,raw_exact_match,,notebook_raw_appendix_b
7121,"Museums, historical sites, zoos, and parks",7121,"Museums, Historical Sites, and Similar Institutions",0.380777,raw_exact_match,,notebook_raw_appendix_b
7131,Amusement parks and arcades,7131,Amusement Parks and Arcades,-0.533819,raw_exact_match,,notebook_raw_appendix_b
7132,Gambling industries,7132,Gambling Industries,-0.1355364,raw_exact_match,,notebook_raw_appendix_b
7139,Other amusement and recreation industries,7139,Other Amusement and Recreation Industries,-1.085068,raw_exact_match,,notebook_raw_appendix_b
7211,Traveler accommodation,7211,Traveler Accommodation,-0.902616,raw_exact_match,,notebook_raw_appendix_b
7212,Rv parks and recreational camps,7212,RV (Recreational Vehicle) Parks and Recreational Camps,-0.404939,raw_exact_match,,notebook_raw_appendix_b
7213,Rooming and boarding houses,7213,Rooming and Boarding Houses,-1.051392,raw_exact_match,,notebook_raw_appendix_b
7221,Full-service restaurants,7225,Restaurants and Other Eating Places,-1.171986,manual_override,Notebook lock: back-map historical restaurant subtype into Felten's aggregate restaurants family.,notebook_locked_naics_manual_review
7222,Limited-service eating places,7225,Restaurants and Other Eating Places,-1.171986,manual_override,Notebook lock: back-map historical restaurant subtype into Felten's aggregate restaurants family.,notebook_locked_naics_manual_review
7223,Special food services,7223,Special Food Services,-1.060899,raw_exact_match,,notebook_raw_appendix_b
7224,"Drinking places, alcoholic beverages",7224,Drinking Places (Alcoholic Beverages),-0.99913,raw_exact_match,,notebook_raw_appendix_b
7225,Restaurants,7225,Restaurants and Other Eating Places,-1.171986,raw_exact_match,,notebook_raw_appendix_b
8111,Automotive repair and maintenance,8111,Automotive Repair and Maintenance,-1.094294,raw_exact_match,,notebook_raw_appendix_b
8112,Electronic equipment repair and maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,0.1066877,raw_exact_match,,notebook_raw_appendix_b
8113,Commercial machinery repair and maintenance,8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,-0.7797639,raw_exact_match,,notebook_raw_appendix_b
8114,Household goods repair and maintenance,8114,Personal and Household Goods Repair and Maintenance,-0.7464604,raw_exact_match,,notebook_raw_appendix_b
8121,Personal care services,8121,Personal Care Services,-0.4751154,raw_exact_match,,notebook_raw_appendix_b
8122,Death care services,8122,Death Care Services,-0.3155441,raw_exact_match,,notebook_raw_appendix_b
8123,Drycleaning and laundry services,8123,Drycleaning and Laundry Services,-1.148211,raw_exact_match,,notebook_raw_appendix_b
8129,Other personal services,8129,Other Personal Services,-0.7702041,raw_exact_match,,notebook_raw_appendix_b
8131,Religious organizations,8131,Religious Organizations,0.9662193,raw_exact_match,,notebook_raw_appendix_b
8132,Grantmaking and giving services,8132,Grantmaking and Giving Services,1.721215,raw_exact_match,,notebook_raw_appendix_b
8133,Social advocacy organizations,8133,Social Advocacy Organizations,1.194087,raw_exact_match,,notebook_raw_appendix_b
8134,Civic and social organizations,8134,Civic and Social Organizations,-0.3505448,raw_exact_match,,notebook_raw_appendix_b
8139,Professional and similar organizations,8139,"Business, Professional, Labor, Political, and Similar Organizations",1.360341,raw_exact_match,,notebook_raw_appendix_b
8141,Private households,,,,,,
9999,Unclassified,,,,,,
